profile,record_type,field,record_section,path_to_field,repeats,group_repeats,record_type_machine_name,field_machine_name
herbarium_2-0-9,Citation,Publication date,Citation Information,Publication,n,y,citation,publicationDate
herbarium_2-0-9,Citation,Resource identifier capture date,Citation Information,Resource identifier,n,y,citation,captureDate
herbarium_2-0-9,Object,Taxonomic identification date,Object Identification Information,Determination history > Identification by,n,y,collectionobject,determinationDateGroup
herbarium_2-0-9,Object,Associated date value,Object History and Association Information,Associations > Associated date,n,y,collectionobject,assocStructuredDateGroup
herbarium_2-0-9,Object,Ownership date,Object History and Association Information,"",y,n,collectionobject,ownershipDateGroup
herbarium_2-0-9,Object,Field collection date,Object Collection Information,"",n,n/a,collectionobject,fieldCollectionDateGroup
herbarium_2-0-9,Object,Production date,Object Production Information,"",y,n,collectionobject,objectProductionDateGroup
herbarium_2-0-9,Object,Content date,Object Description Information,Content,n,n/a,collectionobject,contentDateGroup
herbarium_2-0-9,Exhibition,Gallery rotation start date,Exhibition Information,Gallery rotation,n,y,exhibition,galleryRotationStartDateGroup
herbarium_2-0-9,Exhibition,Gallery rotation end date,Exhibition Information,Gallery rotation,n,y,exhibition,galleryRotationEndDateGroup
herbarium_2-0-9,Media Handling,Date,Media Handling Information,"",y,n,media,dateGroup
herbarium_2-0-9,Organization,Foundation date,Organization Information,"",n,n/a,organization,foundingDateGroup
herbarium_2-0-9,Organization,Dissolution date,Organization Information,"",n,n/a,organization,dissolutionDateGroup
herbarium_2-0-9,Organization,Contact date,Organization Information,Contact person,n,y,organization,contactDateGroup
herbarium_2-0-9,Organization,Contact end date,Organization Information,Contact person,n,y,organization,contactEndDateGroup
herbarium_2-0-9,Person,Birth date,Person Information,"",n,n/a,person,birthDateGroup
herbarium_2-0-9,Person,Death date,Person Information,"",n,n/a,person,deathDateGroup
herbarium_2-0-9,Person,Birth date supplied,Maker-Supplied Identity Information,Supplied birth date,n,y,person,suppliedStructuredBirthDateGroup
herbarium_2-0-9,Place,Term date,Place Information,Term,n,y,place,nameDateGroup
herbarium_2-0-9,Place,Ownership date,Place Information,Ownership,n,y,place,ownershipDateGroup
herbarium_2-0-9,Place,Georeference date,Georeference Information,Georeference,n,y,place,geoRefDateGroup
herbarium_2-0-9,Work,Work date,Work Information,"",y,n,work,workDateGroup
