profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
lhmc_8-0-0,Intake,intake,Location Information,"",Interim location,currentLocation,ns2:intakes_common.currentLocation,currentLocationLocationLocal; currentLocationLocationOffsite; currentLocationOrganizationLocal; currentLocationPlaceLocal; currentLocationRefname,n,y,authority; refname,location/local; location/offsite; organization/local; place/local; authority refname
lhmc_8-0-0,Intake,intake,Condition Check Information,"",Condition check by,conditionCheckerOrAssessor,ns2:intakes_common.conditionCheckerOrAssessor,conditionCheckerOrAssessorPersonLocal; conditionCheckerOrAssessorOrganizationLocal; conditionCheckerOrAssessorRefname,y,n,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Loan In,loanin,Loan In Information,"",Loan status authorizer,loaninStatusAuthorizerLHMC,ns2:loansin_lhmc.loaninStatusAuthorizerLHMC,loaninStatusAuthorizerLHMCPersonLocal; loaninStatusAuthorizerLHMCPersonUlan; loaninStatusAuthorizerLHMCRefname,n,y,authority; refname,person/local; person/ulan; authority refname
lhmc_8-0-0,Loan In,loanin,Loan In Information,"",Lender name,lender,ns2:loansin_common.lender,lenderPersonLocal; lenderOrganizationLocal; lenderRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Loan Out,loanout,Loan Out Information,"",Loan status authorizer,loanoutStatusAuthorizerLHMC,ns2:loansout_lhmc.loanoutStatusAuthorizerLHMC,loanoutStatusAuthorizerLHMCPersonLocal; loanoutStatusAuthorizerLHMCPersonUlan; loanoutStatusAuthorizerLHMCOrganizationLocal; loanoutStatusAuthorizerLHMCRefname,n,y,authority; refname,person/local; person/ulan; organization/local; authority refname
lhmc_8-0-0,Storage Location,location,Storage Location Information,Source,Term source name,termSource,ns2:locations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Media Handling,media,Media Handling Information,"",Measured by,measuredBy,ns2:media_common.measuredBy,measuredByPersonLocal; measuredByOrganizationLocal; measuredByRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Organization,organization,Organization Information,Source,Term source name,termSource,ns2:organizations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Person Information,Source,Term source name,termSource,ns2:persons_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Person Information,"",Publication name,publicationsPerson,ns2:persons_lhmc.publicationsPerson,publicationsPersonCitationLocal; publicationsPersonCitationWorldcat; publicationsPersonRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated person,assocPerson,ns2:persons_common.assocPerson,assocPersonPersonLocal; assocPersonPersonUlan; assocPersonRefname,n,y,authority; refname,person/local; person/ulan; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated person citation,assocPersonCitation,ns2:persons_common.assocPersonCitation,assocPersonCitationCitationLocal; assocPersonCitationCitationWorldcat; assocPersonCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated people citation,assocPeopleCitation,ns2:persons_common.assocPeopleCitation,assocPeopleCitationCitationLocal; assocPeopleCitationCitationWorldcat; assocPeopleCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated organization,assocOrganization,ns2:persons_common.assocOrganization,assocOrganizationOrganizationLocal; assocOrganizationOrganizationUlan; assocOrganizationRefname,n,y,authority; refname,organization/local; organization/ulan; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated organization citation,assocOrganizationCitation,ns2:persons_common.assocOrganizationCitation,assocOrganizationCitationCitationLocal; assocOrganizationCitationCitationWorldcat; assocOrganizationCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated concept,assocConcept,ns2:persons_common.assocConcept,assocConceptConceptActivity; assocConceptConceptAssociated; assocConceptConceptMaterial; assocConceptConceptNomenclature; assocConceptConceptOccasion; assocConceptRefname,n,y,authority; refname,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated concept citation,assocConceptCitation,ns2:persons_common.assocConceptCitation,assocConceptCitationCitationLocal; assocConceptCitationCitationWorldcat; assocConceptCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated place,assocPlace,ns2:persons_common.assocPlace,assocPlacePlaceLocal; assocPlacePlaceTgn; assocPlaceRefname,n,y,authority; refname,place/local; place/tgn; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated place citation,assocPlaceCitation,ns2:persons_common.assocPlaceCitation,assocPlaceCitationCitationLocal; assocPlaceCitationCitationWorldcat; assocPlaceCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated event/era,assocChronology,ns2:persons_common.assocChronology,assocChronologyChronologyEra; assocChronologyChronologyEvent; assocChronologyRefname,n,y,authority; refname,chronology/era; chronology/event; authority refname
lhmc_8-0-0,Person,person,Associated Authorities,"",Associated event/era citation,assocChronologyCitation,ns2:persons_common.assocChronologyCitation,assocChronologyCitationCitationLocal; assocChronologyCitationCitationWorldcat; assocChronologyCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Place Information,Source,Term source name,termSource,ns2:places_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Place Information,"",Owner,owner,ns2:places_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Place,place,Place Information,"",Address municipality,addressMunicipality,ns2:places_common.addressMunicipality,addressMunicipalityPlaceLocal; addressMunicipalityPlaceTgn; addressMunicipalityRefname,n,y,authority; refname,place/local; place/tgn; authority refname
lhmc_8-0-0,Place,place,Place Information,"",Address state/province,addressStateOrProvince,ns2:places_common.addressStateOrProvince,addressStateOrProvincePlaceLocal; addressStateOrProvincePlaceTgn; addressStateOrProvinceRefname,n,y,authority; refname,place/local; place/tgn; authority refname
lhmc_8-0-0,Place,place,Place Information,"",Address country,addressCountry,ns2:places_common.addressCountry,addressCountryPlaceLocal; addressCountryPlaceTgn; addressCountryRefname,n,y,authority; refname,place/local; place/tgn; authority refname
lhmc_8-0-0,Place,place,Georeference Information,"",Georeferenced by,geoReferencedBy,ns2:places_common.geoReferencedBy,geoReferencedByPersonLocal; geoReferencedByOrganizationLocal; geoReferencedByRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated person,assocPerson,ns2:places_common.assocPerson,assocPersonPersonLocal; assocPersonPersonUlan; assocPersonRefname,n,y,authority; refname,person/local; person/ulan; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated person citation,assocPersonCitation,ns2:places_common.assocPersonCitation,assocPersonCitationCitationLocal; assocPersonCitationCitationWorldcat; assocPersonCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated people citation,assocPeopleCitation,ns2:places_common.assocPeopleCitation,assocPeopleCitationCitationLocal; assocPeopleCitationCitationWorldcat; assocPeopleCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated organization,assocOrganization,ns2:places_common.assocOrganization,assocOrganizationOrganizationLocal; assocOrganizationOrganizationUlan; assocOrganizationRefname,n,y,authority; refname,organization/local; organization/ulan; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated organization citation,assocOrganizationCitation,ns2:places_common.assocOrganizationCitation,assocOrganizationCitationCitationLocal; assocOrganizationCitationCitationWorldcat; assocOrganizationCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated concept,assocConcept,ns2:places_common.assocConcept,assocConceptConceptActivity; assocConceptConceptAssociated; assocConceptConceptMaterial; assocConceptConceptNomenclature; assocConceptConceptOccasion; assocConceptRefname,n,y,authority; refname,concept/activity; concept/associated; concept/material; concept/nomenclature; concept/occasion; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated concept citation,assocConceptCitation,ns2:places_common.assocConceptCitation,assocConceptCitationCitationLocal; assocConceptCitationCitationWorldcat; assocConceptCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated place,assocPlace,ns2:places_common.assocPlace,assocPlacePlaceLocal; assocPlacePlaceTgn; assocPlaceRefname,n,y,authority; refname,place/local; place/tgn; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated place citation,assocPlaceCitation,ns2:places_common.assocPlaceCitation,assocPlaceCitationCitationLocal; assocPlaceCitationCitationWorldcat; assocPlaceCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated event/era,assocChronology,ns2:places_common.assocChronology,assocChronologyChronologyEra; assocChronologyChronologyEvent; assocChronologyRefname,n,y,authority; refname,chronology/era; chronology/event; authority refname
lhmc_8-0-0,Place,place,Associated Authorities,"",Associated event/era citation,assocChronologyCitation,ns2:places_common.assocChronologyCitation,assocChronologyCitationCitationLocal; assocChronologyCitationCitationWorldcat; assocChronologyCitationRefname,y,as part of larger repeating group,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Transport,transport,Transport Information,"",Courier name,courier,ns2:transports_common.courier,courierPersonLocal; courierOrganizationLocal; courierRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Transport,transport,Cost Information,"",Shipping quote provider,shippingQuoteProvider,ns2:transports_common.shippingQuoteProvider,shippingQuoteProviderPersonLocal; shippingQuoteProviderOrganizationLocal; shippingQuoteProviderRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Use of Collections,uoc,Use of Collections Information,"",User name,user,ns2:uoc_common.user,userPersonLocal; userOrganizationLocal; userRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Use of Collections,uoc,Use of Collections Information,"",Authorized by,authorizedBy,ns2:uoc_common.authorizedBy,authorizedByPersonLocal; authorizedByOrganizationLocal; authorizedByRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Use of Collections,uoc,Use of Collections Information,"",Staff name,staffName,ns2:uoc_common.staffName,staffNamePersonLocal; staffNameOrganizationLocal; staffNameRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Use of Collections,uoc,Use of Collections Information,"",Location,location,ns2:uoc_common.location,locationOrganizationLocal; locationPlaceLocal; locationLocationLocal; locationRefname,y,n,authority; refname,organization/local; place/local; location/local; authority refname
lhmc_8-0-0,Work,work,Work Information,Source,Term source name,termSource,ns2:works_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
lhmc_8-0-0,Work,work,Work Information,"",Creator name,creator,ns2:works_common.creator,creatorPersonLocal; creatorOrganizationLocal; creatorRefname,n,y,authority; refname,person/local; organization/local; authority refname
lhmc_8-0-0,Work,work,Work Information,"",Publisher name,publisher,ns2:works_common.publisher,publisherPersonLocal; publisherOrganizationLocal; publisherRefname,n,y,authority; refname,person/local; organization/local; authority refname
